,Entered Time,Left Time
0,2021-04-24 21:22:39.127719,2021-04-24 21:22:39.381327
1,2021-04-24 21:22:39.598392,2021-04-24 21:22:39.729361
2,2021-04-24 21:22:41.074352,2021-04-24 21:22:42.881923
3,2021-04-24 21:22:44.674252,2021-04-24 21:22:44.753874
4,2021-04-24 21:22:45.071425,2021-04-24 21:22:45.210272
6,2021-04-24 21:49:13.704442,2021-04-24 21:49:14.306781
7,2021-04-24 21:49:14.988469,2021-04-24 21:49:15.715121
8,2021-04-24 21:49:15.778115,2021-04-24 21:49:15.847311
9,2021-04-24 21:49:15.915724,2021-04-24 21:49:16.048099
10,2021-04-24 21:49:16.116596,2021-04-24 21:49:16.179600
11,2021-04-24 21:49:16.851701,2021-04-24 21:49:17.654331
12,2021-04-24 21:49:17.723324,2021-04-24 21:49:17.786076
13,2021-04-24 21:49:18.119044,2021-04-24 21:49:18.185958
14,2021-04-24 21:49:18.522592,2021-04-24 21:49:18.919118
16,2021-04-24 22:06:59.614354,2021-04-24 22:07:00.348414
17,2021-04-24 22:07:01.484587,2021-04-24 22:07:02.224090
18,2021-04-24 22:07:03.446878,2021-04-24 22:07:04.703994
19,2021-04-24 22:07:05.572486,2021-04-24 22:07:06.643419
21,2021-04-24 22:08:38.250465,2021-04-24 22:08:38.976088
22,2021-04-24 22:08:39.039054,2021-04-24 22:08:39.107930
23,2021-04-24 22:08:40.248511,2021-04-24 22:08:42.725470
24,2021-04-24 22:08:43.338427,2021-04-24 22:08:44.474458
25,2021-04-24 22:08:45.402770,2021-04-24 22:08:45.462515
26,2021-04-24 22:08:45.529988,2021-04-24 22:08:46.659264
27,2021-04-24 22:08:47.737659,2021-04-24 22:08:49.015032
28,2021-04-24 22:08:49.748285,2021-04-24 22:08:49.848667
30,2021-04-24 22:10:37.846178,2021-04-24 22:10:38.581532
31,2021-04-24 22:10:39.370472,2021-04-24 22:10:39.454826
32,2021-04-24 22:10:39.524033,2021-04-24 22:10:40.258261
